model,epsilon,index,true_label,result,time_seconds
fc6,0.02,15,5,unknown,5.17572546005249
fc6,0.02,16,9,unknown,5.289321660995483
fc6,0.02,17,7,unknown,5.150428533554077
fc6,0.02,18,3,unknown,5.170762777328491
fc6,0.02,19,4,unknown,5.146265983581543
fc6,0.02,20,9,unknown,5.177534103393555
fc6,0.02,21,6,unknown,5.396875619888306
fc6,0.02,22,6,unknown,5.173179864883423
fc6,0.02,23,5,unknown,5.133491039276123
fc6,0.02,24,4,unknown,5.141887903213501
fc6,0.05,0,7,unknown,5.1865668296813965
fc6,0.05,1,2,unknown,5.182673931121826
fc6,0.05,2,1,unknown,5.095698595046997
fc6,0.05,3,0,unknown,5.203449964523315
fc6,0.05,4,4,unknown,5.244589805603027
fc6,0.05,5,1,unknown,5.2328197956085205
fc6,0.05,6,4,unknown,5.132867097854614
fc6,0.05,7,9,unknown,5.164400815963745
fc6,0.05,8,5,unknown,5.262277841567993
fc6,0.05,9,9,unknown,5.348222970962524
fc6,0.05,10,0,unknown,5.181354522705078
fc6,0.05,11,6,unknown,5.136979341506958
fc6,0.05,12,9,unknown,5.139656066894531
fc6,0.05,13,0,unknown,5.116607904434204
fc6,0.05,14,1,unknown,5.1796040534973145
fc6,0.05,15,5,unknown,5.2178635597229
fc6,0.05,16,9,unknown,5.139530658721924
fc6,0.05,17,7,unknown,5.154387474060059
fc6,0.05,18,3,unknown,5.123543977737427
fc6,0.05,19,4,unknown,5.181325435638428
fc6,0.05,20,9,unknown,5.310770034790039
fc6,0.05,21,6,unknown,5.248009204864502
fc6,0.05,22,6,unknown,5.326260566711426
fc6,0.05,23,5,unknown,5.23759388923645
fc6,0.05,24,4,unknown,5.722485780715942
